time_s,gt_E,gt_N,gt_U,gnss_E,gnss_N,gnss_U,pinn_E,pinn_N,pinn_U
5.500000000000000000e+00,3.210765292960965356e-10,2.648500170262038655e-10,-1.999999500754688284e-03,2.467544023855689161e+00,-3.775268766723767655e+00,2.761068545454951817e+01,1.644257949433356458e-01,3.648693825377069544e-01,4.353355037591128962e-01
5.599999904632568359e+00,2.261103405204467620e-10,-3.139018537288984501e-11,-3.000000655972971317e-03,2.294637803905219542e+00,-3.782125749021186145e+00,2.750768334846393159e+01,6.574226664235300888e-01,1.240005217165337292e+00,2.012891290654330589e-01
5.699999809265136719e+00,3.210765292960965356e-10,2.648500170262038655e-10,-1.999999500754688284e-03,2.502546798328925348e+00,-3.746299521594845139e+00,2.754233757276135464e+01,7.611065021558296451e-01,6.735074356500279080e-01,1.315014755912599753e+00
5.799999952316284180e+00,1.224198665616266224e-10,3.061237910297748277e-10,-5.000000333174184526e-03,2.484669554155928495e+00,-3.746755764943856093e+00,2.739096833677627529e+01,8.357125400720661901e-01,3.988455076391517196e-01,8.905558726344295906e-01
5.899999856948852539e+00,3.210765292960965356e-10,2.648500170262038655e-10,-1.999999500754688284e-03,2.460110328224804022e+00,-3.748459075745150137e+00,2.732826487340189203e+01,8.085030532156487482e-01,6.247136842646154875e-01,5.542961768076537510e-01
6.000000000000000000e+00,3.210765292960965356e-10,2.648500170262038655e-10,-1.999999500754688284e-03,2.498010538953899129e+00,-3.706464910574549521e+00,2.734879273212930784e+01,1.363159321684001668e+00,-4.826011664449580962e-02,1.656350553403111547e+00
6.099999904632568359e+00,3.298008148587376620e-10,6.167446290001113440e-11,-1.000000801451475952e-03,2.497042316615877056e+00,-3.701411334330114933e+00,2.730183682022761360e+01,1.228995460689363384e+00,4.656371199545530359e-01,1.218585343939771803e+00
6.199999809265136719e+00,-1.029827952584178551e-02,4.642605015703349380e-10,-4.000001288354398943e-03,2.604622794444710010e+00,-3.667289153893494635e+00,2.746027932703395891e+01,7.473400366856157717e-01,-4.757301171326666633e-03,1.087373595832787032e+00
6.299999952316284180e+00,-1.029827962953226012e-02,-5.938277083603060724e-11,-6.000001320196176463e-03,2.655081792799300899e+00,-3.660891102732869662e+00,2.757918785885157220e+01,1.580543085066146602e+00,1.119578791676310026e+00,1.379266489298959897e+00
6.399999856948852539e+00,-1.029827962953226012e-02,-5.938277083603060724e-11,-6.000001320196176463e-03,2.680977953600438113e+00,-3.636591078438087266e+00,2.763060578322488681e+01,7.472846638436632105e-01,-1.044900061287208359e+00,1.239827003241366299e+00
6.500000000000000000e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.753053570412482998e+00,-3.590476652598527885e+00,2.774286193456740079e+01,6.023265367973706930e-01,9.513057265518627403e-01,6.322071036347836070e-01
