time_s,gnss_2d,gnss_3d,pinn_2d,pinn_3d,vel_err,pred_sigma_3d
1.009999990463256836e+01,1.253898028511867935e+01,4.199340069084833260e+01,1.830353220193351005e+00,5.610584840092094794e+00,3.821050899110236987e+00,3.368389129638671875e+01
1.019999980926513672e+01,1.245856723394888022e+01,4.197694748397214681e+01,1.435558038745137655e+00,5.863910190241337972e+00,3.803697009547976293e+00,3.362613677978515625e+01
1.029999995231628418e+01,1.248058961891410057e+01,4.195647914294535497e+01,1.481984953525065096e+00,5.825140703230863970e+00,3.707926049263369883e+00,3.345403289794921875e+01
1.039999985694885254e+01,1.253312451781886772e+01,4.197883598409250538e+01,9.199329598222937276e-01,5.220737004216394972e+00,3.742686245622810937e+00,3.360729598999023438e+01
1.050000000000000000e+01,1.253960961928658158e+01,4.201564471577337656e+01,9.743205055043970830e-01,5.335320685830138743e+00,3.802051484105792856e+00,3.377249526977539062e+01
1.059999990463256836e+01,1.250127810919083871e+01,4.197813313969641769e+01,1.591615860032324914e+00,5.668472795854616386e+00,3.718194391473857330e+00,3.359968948364257812e+01
1.069999980926513672e+01,1.240710667601735828e+01,4.193206591457651911e+01,1.406044879057448016e+00,6.088980891297941511e+00,3.740844873390743341e+00,3.363747024536132812e+01
1.079999995231628418e+01,1.229706894219385660e+01,4.188435995724938721e+01,1.460521772818454300e+00,6.117217130718861640e+00,3.740844873390743341e+00,3.350761795043945312e+01
1.089999985694885254e+01,1.223957436237927610e+01,4.186152381412438928e+01,1.766184755250824523e+00,5.985055657845965271e+00,3.614007186138949113e+00,3.372381210327148438e+01
1.100000000000000000e+01,1.230063613138463374e+01,4.186229753658393804e+01,1.128045498541624614e+00,5.334727358949288067e+00,3.629577843449218744e+00,3.372264480590820312e+01
1.109999990463256836e+01,1.240323575427055403e+01,4.192814153328579607e+01,1.558051133907569552e+00,5.853730286536677596e+00,3.600223418812794840e+00,3.356658172607421875e+01
1.119999980926513672e+01,1.245328713312013136e+01,4.188299567428428816e+01,1.304325541463086768e+00,6.080387126166810319e+00,3.628450858982597005e+00,3.357851409912109375e+01
1.129999995231628418e+01,1.233018107359981208e+01,4.186060684793736186e+01,1.775406126369404980e+00,6.059425067592948189e+00,3.655330685604984975e+00,3.357844924926757812e+01
1.139999985694885254e+01,1.225564881816548102e+01,4.184917440359365060e+01,1.789031460523081929e+00,5.703356013058653140e+00,3.546463972667076359e+00,3.362421417236328125e+01
1.150000000000000000e+01,1.228589696242810270e+01,4.185218911752352966e+01,1.262711292170600519e+00,5.826855743738470927e+00,3.554599466159842347e+00,3.367377471923828125e+01
1.159999990463256836e+01,1.240941947369172560e+01,4.189618899783395989e+01,7.182393847610670790e-01,6.113944425598851318e+00,3.692864710771059489e+00,3.356032943725585938e+01
1.169999980926513672e+01,1.242558593785719090e+01,4.193749574968812510e+01,2.011118140589243652e-01,5.442879585781056129e+00,3.736232768606653210e+00,3.362018585205078125e+01
1.179999995231628418e+01,1.246245378766406908e+01,4.187594995430771405e+01,3.662253421890163119e-01,5.241412347800356031e+00,3.922922666381444046e+00,3.364221572875976562e+01
