time_s,gnss_2d,gnss_3d,fusion_2d,fusion_3d
3.399999856948852539e+00,4.718914191276449621e+00,2.781544375169315231e+01,7.849616101587441719e+00,7.860869740064225120e+00
3.500000000000000000e+00,4.664151005081731860e+00,2.778656640189114668e+01,8.329885149793824439e+00,8.375307935609663801e+00
3.599999904632568359e+00,4.559699782427163228e+00,2.743787485182819097e+01,7.534133246037555409e+00,7.612020095753469384e+00
3.699999809265136719e+00,4.636846911917558600e+00,2.748944005149713021e+01,9.015895607209094109e+00,9.026192064408908422e+00
3.799999952316284180e+00,4.681958014360270148e+00,2.756292540876448172e+01,8.502151734792519733e+00,8.551477641466759039e+00
3.899999856948852539e+00,4.727630769254483667e+00,2.769748147581290709e+01,7.981981363154581288e+00,7.994365355029410480e+00
4.000000000000000000e+00,4.620695877002913399e+00,2.759931726597918455e+01,8.726350331748554012e+00,8.818290976714576956e+00
4.099999904632568359e+00,4.485377039195602933e+00,2.751891702571033704e+01,8.562063368799785579e+00,8.569020435495220411e+00
4.199999809265136719e+00,4.483020101372707344e+00,2.761637273907589929e+01,7.946361444703329724e+00,7.955228513791451128e+00
4.299999952316284180e+00,4.508540133139680606e+00,2.776053454739159321e+01,6.778491492055697343e+00,6.779206252632632435e+00
4.399999856948852539e+00,4.455817416649624718e+00,2.772075064911561526e+01,5.432864792566879153e+00,9.697974055984781572e+00
4.500000000000000000e+00,4.429929549638622177e+00,2.775735251153743732e+01,5.285874411210536472e+00,7.888601026715405418e+00
4.599999904632568359e+00,4.579593703821718265e+00,2.801512449037917918e+01,6.739887361827542556e+00,6.739889193600393291e+00
4.699999809265136719e+00,4.534098289424981054e+00,2.799866945215551084e+01,6.424514123067108784e+00,6.443397245346896618e+00
4.799999952316284180e+00,4.503854945073291205e+00,2.802416658218819023e+01,6.344719204977197435e+00,6.360351147989151244e+00
4.899999856948852539e+00,4.575388626704024908e+00,2.808443913184020246e+01,6.305248616939188366e+00,6.310492360206094276e+00
5.000000000000000000e+00,4.505129333528880231e+00,2.799413795193844479e+01,6.615448214660154314e+00,6.615450559172463940e+00
5.099999904632568359e+00,4.512681794236113042e+00,2.791160150893762548e+01,6.558564575802722452e+00,6.560150565455683314e+00
5.199999809265136719e+00,4.536597131261244975e+00,2.796335784759894949e+01,6.344467383839156760e+00,6.356774740390741307e+00
5.299999952316284180e+00,4.495151831407999232e+00,2.793405092199856199e+01,7.078727714727632403e+00,7.082999338112215604e+00
5.399999856948852539e+00,4.500000254416512746e+00,2.792615255787394091e+01,5.932621064596924398e+00,6.031736886960014310e+00
5.500000000000000000e+00,4.510147200600123085e+00,2.797859585031744700e+01,6.001417102553386229e+00,6.319810184577705492e+00
5.599999904632568359e+00,4.423780942954217643e+00,2.786409044212260255e+01,5.311339653686612650e+00,6.843071993899654260e+00
5.699999809265136719e+00,4.505274751189490168e+00,2.791035708976930252e+01,5.918901416822603956e+00,6.207526886952195788e+00
5.799999952316284180e+00,4.495749276502754022e+00,2.776239980054099377e+01,5.765157450261684247e+00,6.937168668791299453e+00
5.899999856948852539e+00,4.483646760169708756e+00,2.769560373584581470e+01,6.488798477736613890e+00,6.714070114742947126e+00
6.000000000000000000e+00,4.469668755780942249e+00,2.771360319112244852e+01,6.173260847516298000e+00,6.200811621744890978e+00
6.099999904632568359e+00,4.464937423490651369e+00,2.766551218885036079e+01,5.141071244362477088e+00,6.903939749526950109e+00
6.199999809265136719e+00,4.504089496953510796e+00,2.783115989298465820e+01,5.405787333418937912e+00,5.749497666066380575e+00
6.299999952316284180e+00,4.528396496934581350e+00,2.795440866620331377e+01,6.055368648773589157e+00,6.222617453009157806e+00
6.399999856948852539e+00,4.524131151387980943e+00,2.800445931856643966e+01,6.735471571073061270e+00,6.735475980857759559e+00
6.500000000000000000e+00,4.530743458527353162e+00,2.811828540563704237e+01,6.576770687882746103e+00,6.636622101181004041e+00
6.599999904632568359e+00,4.475304575807834695e+00,2.810624371270079180e+01,6.788071647147154053e+00,6.789028510283586115e+00
6.699999809265136719e+00,4.934757013056408681e+00,2.742825262902143280e+01,7.072920435950514673e+00,7.089718685360828054e+00
6.799999952316284180e+00,4.905443685893668082e+00,2.755464904469353016e+01,7.682489006922920360e+00,7.691025974521406461e+00
6.899999856948852539e+00,4.713219533537019501e+00,2.731767582346773082e+01,6.162349523326739131e+00,6.259349901980235664e+00
