time_s,gt_E,gt_N,gt_U,gnss_E,gnss_N,gnss_U,nonpinn_E,nonpinn_N,nonpinn_U
4.000000000000000000e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.334507767691206936e+00,-3.981546782712065635e+00,2.720176816079894877e+01,3.906397883429121975e+00,-7.797992133359038291e+00,-1.278065203687745566e+00
4.099999904632568359e+00,-1.029827931718001709e-02,-2.193582468446031442e-11,-8.999999697574359234e-03,2.155213022033802162e+00,-3.927997937609379875e+00,2.714191503596854105e+01,3.099269950191608558e+00,-7.977437844683354484e+00,-3.542275898401747725e-01
4.199999809265136719e+00,-1.029827988875844577e-02,-7.675507928892044696e-11,-1.100000086783977336e-02,2.186791757773493217e+00,-3.907718567536984544e+00,2.723907475549762935e+01,2.688690106104944633e+00,-7.473962931321774583e+00,3.645003326613256434e-01
4.299999952316284180e+00,-1.029827923788110070e-02,2.497694013420259651e-10,-1.400000117004593890e-02,2.266931005018468781e+00,-3.891164442140357949e+00,2.737797591197149671e+01,1.776901163357015534e+00,-6.538643976289527870e+00,-1.124403764043577780e-01
4.399999856948852539e+00,-1.029827956768191582e-02,1.880949380625440703e-10,-1.300000036859446338e-02,2.199911389259549210e+00,-3.869015620762136898e+00,2.734729436747601383e+01,-2.895943369956759383e+00,-4.603158937507894954e+00,-8.046348058061095543e+00
4.500000000000000000e+00,-1.029827941214620651e-02,1.124025976462217358e-10,-1.000000067547236055e-02,2.219641022251567009e+00,-3.827746899622960441e+00,2.739157555315383163e+01,-1.556201405955830452e+00,-5.054765255946202629e+00,-5.865728638435523834e+00
4.599999904632568359e+00,-1.029827953456607242e-02,2.368574314546428861e-10,-5.000000164977893430e-03,2.559193803722644489e+00,-3.790829552373558009e+00,2.763328001051183236e+01,2.066526694948459308e+00,-6.411932600698142970e+00,-3.090352777945781781e-05
4.699999809265136719e+00,-1.029827969010178347e-02,-1.180288527503903229e-10,-8.000000035420279723e-03,2.483631616289784461e+00,-3.786602798102160605e+00,2.762110501651012839e+01,1.581877594645192175e+00,-6.224094930289050254e+00,-5.009364473418003172e-01
4.799999952316284180e+00,-1.029827962953226012e-02,-5.938277083603060724e-11,-6.000001320196176463e-03,2.466136693414345160e+00,-3.761911611123285759e+00,2.765388437083618456e+01,1.585116803105965033e+00,-6.140856008095942009e+00,-4.516511363659638789e-01
4.899999856948852539e+00,-1.029827953456607242e-02,2.368574314546428861e-10,-5.000000164977893430e-03,2.589346808749882101e+00,-3.765106408329611298e+00,2.770423204435707376e+01,1.639814001876560567e+00,-6.085498301716452119e+00,-2.622036264955873719e-01
5.000000000000000000e+00,3.298008148587376620e-10,6.167446290001113440e-11,-1.000000801451475952e-03,2.497448587063448855e+00,-3.749525419033983731e+00,2.762825205857101452e+01,1.894262396935122439e+00,-6.338448158062914395e+00,4.569559639129749939e-03
5.099999904632568359e+00,5.184523708783028706e-11,2.618216363658130985e-10,1.000000015920889194e-03,2.480715957825958995e+00,-3.769661166590568158e+00,2.754538603088796123e+01,1.848523107713043956e+00,-6.292672851008292767e+00,-1.432433579212428754e-01
5.199999809265136719e+00,1.642599966635016617e-10,5.822893551880869989e-10,3.999998747065879046e-03,2.487279759795816503e+00,-3.793962694107123390e+00,2.759690975073781161e+01,1.629425393493326268e+00,-6.131658769546576515e+00,-3.913716184714779445e-01
5.299999952316284180e+00,1.642599966635016617e-10,5.822893551880869989e-10,3.999998747065879046e-03,2.434690019691684526e+00,-3.778713338138212308e+00,2.757399838332079511e+01,2.184137276018359941e+00,-6.733344666720975980e+00,2.499543941392765589e-01
